"TYPE","TOTAL_TX","PROJECT"
"New Users","3792027","Cellana"
"New Users","1487872","Aries"
"New Users","3169082","KGeN"
"New Users","2208405","econia"
"New Users","315015665","Tapos"
"Old Users","323057","wapal"
"Old Users","544033","Hippo aggregator"
"New Users","397545","switchboard"
"New Users","659736","Hippo aggregator"
"New Users","2082112","amnis finance"
"Old Users","701659","amnis finance"
"Old Users","674103","Aries"
"Old Users","1182366","thala"
"Old Users","440230","sushiswap"
"New Users","678817","bluemove"
"Old Users","12358384","switchboard"
"New Users","1267660","Panora"
"Old Users","3629143","liquidswap"
"Old Users","28061175","Chingari"
"New Users","333385","Galxe"
"New Users","456855","layerzero"
"Old Users","294478","Panora"
"Old Users","1506297","Cellana"
"Old Users","281623","bluemove"
"New Users","309211","sushiswap"
"Old Users","565593","Galxe"
"New Users","20918695","Chingari"
"Old Users","2535313","pancakeswap"
"New Users","1157371","pancakeswap"
"New Users","1655178","Aptin"
"Old Users","2799644","layerzero"
"Old Users","223068","Aptin"
"New Users","3025766","thala"
"New Users","4393276","liquidswap"
"Old Users","9522857","Tapos"
"New Users","2830690","merkle"
"Old Users","24513627","econia"
"New Users","1323697","wapal"
"Old Users","1409426","merkle"
