CHAIN,STATUS,TOTAL_TXS
Osmosis,SUCCESS,4684202
Ethereum,FAIL,792792
Base,FAIL,7099544
Ethereum,SUCCESS,33010433
Atom,SUCCESS,1282660
Base,SUCCESS,108453774
Polygon,FAIL,8635776
Aptos,SUCCESS,598617566
Near,FAIL,1894
Arbitrum,FAIL,8001767
BSC,SUCCESS,97265593
Sei,SUCCESS,122662311
Near,SUCCESS,190379178
BSC,FAIL,5800560
Avalanche,FAIL,295675
Sei,FAIL,492612
Arbitrum,SUCCESS,60590237
Polygon,SUCCESS,90054549
Optimism,SUCCESS,14828540
Flow,SUCCESS,7705996
Solana,FAIL,719363175
Solana,SUCCESS,1213036307
Avalanche,SUCCESS,4834431
Flow,FAIL,1747049
Aptos,FAIL,1766895
Optimism,FAIL,1131936
Osmosis,FAIL,725170
