TYPE,CHAIN,Average Time
Other Chains,Flow,1.253527419
Other Chains,Cosmos,5.991024774
Other Chains,Arbitrum,0.2513081613
Other Chains,Axelar,5.884638742
Other Chains,Avalanche,2.086821806
Other Chains,Solana,0.4412725161
Other Chains,Polygon,2.177772323
Other Chains,Base,2
Other Chains,Optimism,2
Other Chains,Near,1.135640645
Other Chains,BSC,3.007341806
Aptos,Aptos,0.2214819355
Other Chains,Ethereum,12.060166677
Other Chains,Osmosis,1.911792806
Other Chains,Thorchain,6.1354307
Other Chains,Sei,0.4296107419
