"Date","Total tx","Daily volume","Total users","Total Fee[$APT]","Cum Daily volume","Avg Vol per User","Avg Vol per Txs","volume/Fee ratio","Avg Fee/Txs"
"2024-09-02 00:00:00.000","416633","238752990.304461","31044","190.126299","6589107829.14908","7690.793399834","573.053479452","1255759.94252358","0.00045633999"
"2024-08-26 00:00:00.000","486043","314231566.842216","30088","110.081252","6350354838.84461","10443.750559765","646.509808478","2854542.08716863","0.000226484595"
"2024-08-19 00:00:00.000","453361","306677263.89793","35216","78.842109","6036123272.0024","8708.463877156","676.452680972","3889764.84505165","0.000173905804"
"2024-08-12 00:00:00.000","427365","303477643.999271","27058","96.833567","5729446008.10447","11215.819498827","710.113472089","3134012.8573315","0.00022658282"
"2024-08-05 00:00:00.000","516054","337541239.900808","30797","223.313945","5425968364.1052","10960.198717434","654.081239368","1511509.90548668","0.000432733677"
"2024-07-29 00:00:00.000","525766","329833838.890442","40934","160.231748","5088427124.20439","8057.698707442","627.339612851","2058479.93925924","0.000304758672"
"2024-07-22 00:00:00.000","450206","311867031.33926","29045","100.152767","4758593285.31395","10737.374120821","692.720735262","3113913.28148987","0.000222459867"
"2024-07-15 00:00:00.000","457023","210434421.958276","49924","138.137395","4446726253.97469","4215.095384149","460.446021225","1523370.42376017","0.000302254799"
"2024-07-08 00:00:00.000","436150","210260141.790453","26236","104.958568","4236291832.01641","8014.184395123","482.082177669","2003268.01133999","0.000240647869"
"2024-07-01 00:00:00.000","518315","215943234.515369","30827","177.527163","4026031690.22596","7005.003228189","416.62547778","1216395.45670749","0.000342508249"
"2024-06-24 00:00:00.000","624121","237447379.700223","43368","132.500716","3810088455.71059","5475.174776338","380.450873629","1792046.01203984","0.000212299724"
"2024-06-17 00:00:00.000","655260","246122374.149124","44995","150.041274","3572641076.01037","5469.993869299","375.610252646","1640364.46497464","0.000228979755"
"2024-06-10 00:00:00.000","643273","270528517.470756","36927","94.431289","3326518701.86124","7326.035623548","420.550089108","2864818.64576429","0.000146798154"
"2024-06-03 00:00:00.000","668638","328690957.479771","52158","112.769721","3055990184.39048","6301.832077146","491.582825804","2914709.32591712","0.000168655866"
"2024-05-27 00:00:00.000","468111","190096523.789244","57258","90.594887","2727299226.91071","3319.999367586","406.092836505","2098314.04491121","0.000193532916"
"2024-05-20 00:00:00.000","465440","181988205.323246","53163","125.428177","2537202703.12147","3423.211732281","391.002503702","1450935.58461945","0.00026948302"
"2024-05-13 00:00:00.000","390482","126381436.608409","48111","92.015693","2355214497.79822","2626.871954613","323.654961326","1373476.98515306","0.00023564644"
"2024-05-06 00:00:00.000","506358","130335657.628734","60385","118.351463","2228833061.18981","2158.411155564","257.398239247","1101259.37039522","0.000233730805"
"2024-04-29 00:00:00.000","501078","149324932.792247","57423","159.552986","2098497403.56108","2600.437678147","298.007361713","935895.57009135","0.00031841946"
"2024-04-22 00:00:00.000","592924","139643592.289632","59842","122.440776","1949172470.76883","2333.538188724","235.516849191","1140499.07924165","0.000206503323"
"2024-04-15 00:00:00.000","621389","163895029.025085","61961","144.117421","1809528878.4792","2645.132083489","263.755922659","1137232.59747401","0.00023192786"
"2024-04-08 00:00:00.000","645296","228417738.540902","78906","336.38117","1645633849.45412","2894.808234366","353.973585054","679044.366665655","0.00052128197"
"2024-04-01 00:00:00.000","607382","182316499.47506","74120","363.825004","1417216110.91321","2459.74769934","300.167768349","501110.417015375","0.000599005245"
"2024-03-25 00:00:00.000","659235","185600962.89581","153490","361.19552","1234899611.43815","1209.205569717","281.539910496","513851.785580869","0.000547901006"
"2024-03-18 00:00:00.000","1177376","266528935.759257","358950","723.446721","1049298648.54234","742.523849448","226.375376905","368415.431326914","0.000614456827"
"2024-03-11 00:00:00.000","752223","226688454.072119","168040","520.071879","782769712.783086","1349.014842134","301.358046845","435879.083691273","0.000691379922"
"2024-03-04 00:00:00.000","489609","125682873.8376","60193","324.447979","556081258.710967","2087.998169847","256.700497412","387374.500605535","0.000662667514"
"2024-02-26 00:00:00.000","452688","109876763.631991","50897","333.541388","430398384.873367","2158.806287836","242.720733998","329424.675872581","0.000736801921"
"2024-02-19 00:00:00.000","544053","53710180.5219914","44978","186.172244","320521621.241376","1194.143370581","98.722331321","288497.250546066","0.000342195051"
"2024-02-12 00:00:00.000","491191","44918854.8890546","48103","136.928957","266811440.719385","933.805685489","91.448855718","328044.964872219","0.000278769271"
"2024-02-05 00:00:00.000","373876","35919282.4693772","41970","96.661305","221892585.83033","855.832319976","96.072715203","371599.395118628","0.000258538406"
"2024-01-29 00:00:00.000","320244","31671956.2374148","45967","142.223811","185973303.360953","689.015081198","98.899452409","222690.954592792","0.000444110775"
"2024-01-22 00:00:00.000","381105","33986870.480685","164680","238.693891","154301347.123538","206.381287835","89.179807351","142386.84676134","0.000626320544"
"2024-01-15 00:00:00.000","269420","30609464.2623111","42305","150.960068","120314476.642853","723.54247163","113.612442515","202765.305208468","0.000560315003"
"2024-01-08 00:00:00.000","355093","45372529.4633848","46343","264.695227","89705012.380542","979.058961729","127.776468315","171414.233560716","0.000745425077"
"2024-01-01 00:00:00.000","353920","44332482.9171572","40911","241.607979","44332482.9171572","1083.632346243","125.261310232","183489.316456545","0.000682662689"
