"DATE","New Buyers"
"2024-05-07 00:00:00.000","104"
"2024-05-09 00:00:00.000","140"
"2024-06-02 00:00:00.000","85"
"2024-05-28 00:00:00.000","130"
"2024-01-05 00:00:00.000","179"
"2024-08-16 00:00:00.000","30"
"2024-04-04 00:00:00.000","534"
"2024-01-01 00:00:00.000","155"
"2024-05-04 00:00:00.000","122"
"2024-07-16 00:00:00.000","74"
"2024-02-03 00:00:00.000","14016"
"2024-05-19 00:00:00.000","93"
"2024-03-29 00:00:00.000","640"
"2024-01-21 00:00:00.000","993"
"2024-06-29 00:00:00.000","143"
"2024-07-17 00:00:00.000","73"
"2024-06-06 00:00:00.000","125"
"2024-03-10 00:00:00.000","2545"
"2024-02-25 00:00:00.000","328"
"2024-09-04 00:00:00.000","202"
"2024-02-14 00:00:00.000","304"
"2024-08-03 00:00:00.000","34"
"2024-08-01 00:00:00.000","31"
"2024-07-30 00:00:00.000","117"
"2024-03-17 00:00:00.000","2600"
"2024-02-19 00:00:00.000","289"
"2024-01-19 00:00:00.000","120"
"2024-04-28 00:00:00.000","443"
"2024-09-09 00:00:00.000","222"
"2024-08-20 00:00:00.000","65"
"2024-05-06 00:00:00.000","166"
"2024-07-24 00:00:00.000","74"
"2024-08-12 00:00:00.000","14"
"2024-05-01 00:00:00.000","235"
"2024-01-09 00:00:00.000","147"
"2024-05-24 00:00:00.000","324"
"2024-07-06 00:00:00.000","67"
"2024-03-21 00:00:00.000","22405"
"2024-02-22 00:00:00.000","394"
"2024-04-20 00:00:00.000","400"
"2024-06-08 00:00:00.000","151"
"2024-05-05 00:00:00.000","125"
"2024-06-19 00:00:00.000","127"
"2024-07-12 00:00:00.000","88"
"2024-06-20 00:00:00.000","73"
"2024-01-04 00:00:00.000","239"
"2024-04-30 00:00:00.000","318"
"2024-01-11 00:00:00.000","177"
"2024-05-03 00:00:00.000","78"
"2024-06-05 00:00:00.000","161"
"2024-07-25 00:00:00.000","120"
"2024-07-26 00:00:00.000","62"
"2024-08-05 00:00:00.000","26"
"2024-03-08 00:00:00.000","632"
"2024-07-31 00:00:00.000","53"
"2024-07-05 00:00:00.000","83"
"2024-09-02 00:00:00.000","403"
"2024-01-06 00:00:00.000","183"
"2024-07-15 00:00:00.000","72"
"2024-02-15 00:00:00.000","283"
"2024-07-20 00:00:00.000","89"
"2024-04-22 00:00:00.000","370"
"2024-05-17 00:00:00.000","103"
"2024-07-14 00:00:00.000","49"
"2024-02-02 00:00:00.000","18880"
"2024-04-09 00:00:00.000","485"
"2024-05-23 00:00:00.000","170"
"2024-05-22 00:00:00.000","115"
"2024-07-21 00:00:00.000","53"
"2024-05-31 00:00:00.000","310"
"2024-04-26 00:00:00.000","350"
"2024-09-05 00:00:00.000","170"
"2024-05-02 00:00:00.000","99"
"2024-02-13 00:00:00.000","454"
"2024-02-20 00:00:00.000","322"
"2024-05-14 00:00:00.000","225"
"2024-01-15 00:00:00.000","295"
"2024-04-08 00:00:00.000","460"
"2024-05-30 00:00:00.000","222"
"2024-05-11 00:00:00.000","115"
"2024-02-04 00:00:00.000","13878"
"2024-03-18 00:00:00.000","2547"
"2024-06-22 00:00:00.000","222"
"2024-01-16 00:00:00.000","227"
"2024-03-23 00:00:00.000","1860"
"2024-06-04 00:00:00.000","84"
"2024-01-03 00:00:00.000","318"
"2024-04-03 00:00:00.000","719"
"2024-04-01 00:00:00.000","691"
"2024-09-11 00:00:00.000","185"
"2024-08-19 00:00:00.000","27"
"2024-03-16 00:00:00.000","33895"
"2024-04-05 00:00:00.000","602"
"2024-02-05 00:00:00.000","14232"
"2024-06-12 00:00:00.000","182"
"2024-08-08 00:00:00.000","22"
"2024-01-22 00:00:00.000","918"
"2024-07-29 00:00:00.000","104"
"2024-02-10 00:00:00.000","331"
"2024-06-24 00:00:00.000","48"
"2024-09-03 00:00:00.000","228"
"2024-08-21 00:00:00.000","100"
"2024-08-13 00:00:00.000","18"
"2024-07-27 00:00:00.000","74"
"2024-02-08 00:00:00.000","405"
"2024-02-07 00:00:00.000","2111"
"2024-07-22 00:00:00.000","51"
"2024-08-30 00:00:00.000","59"
"2024-01-26 00:00:00.000","5817"
"2024-01-25 00:00:00.000","5762"
"2024-01-10 00:00:00.000","128"
"2024-04-29 00:00:00.000","320"
"2024-07-08 00:00:00.000","61"
"2024-04-19 00:00:00.000","441"
"2024-04-07 00:00:00.000","404"
"2024-05-10 00:00:00.000","131"
"2024-03-20 00:00:00.000","3564"
"2024-09-13 00:00:00.000","135"
"2024-01-23 00:00:00.000","418"
"2024-07-23 00:00:00.000","79"
"2024-02-24 00:00:00.000","287"
"2024-07-02 00:00:00.000","73"
"2024-01-30 00:00:00.000","5614"
"2024-03-14 00:00:00.000","4010"
"2024-02-06 00:00:00.000","4976"
"2024-03-26 00:00:00.000","740"
"2024-05-12 00:00:00.000","97"
"2024-04-15 00:00:00.000","585"
"2024-05-25 00:00:00.000","90"
"2024-04-17 00:00:00.000","494"
"2024-07-01 00:00:00.000","62"
"2024-08-27 00:00:00.000","23"
"2024-01-29 00:00:00.000","5814"
"2024-08-31 00:00:00.000","1160"
"2024-08-28 00:00:00.000","39"
"2024-04-18 00:00:00.000","364"
"2024-08-11 00:00:00.000","26"
"2024-09-06 00:00:00.000","121"
"2024-05-15 00:00:00.000","201"
"2024-08-25 00:00:00.000","32"
"2024-03-07 00:00:00.000","583"
"2024-09-12 00:00:00.000","71"
"2024-04-16 00:00:00.000","804"
"2024-09-07 00:00:00.000","127"
"2024-05-18 00:00:00.000","90"
"2024-08-07 00:00:00.000","12"
"2024-01-20 00:00:00.000","109"
"2024-03-09 00:00:00.000","1479"
"2024-03-28 00:00:00.000","968"
"2024-03-11 00:00:00.000","1203"
"2024-07-11 00:00:00.000","85"
"2024-07-13 00:00:00.000","40"
"2024-05-21 00:00:00.000","129"
"2024-05-16 00:00:00.000","115"
"2024-01-24 00:00:00.000","368"
"2024-02-21 00:00:00.000","289"
"2024-07-10 00:00:00.000","94"
"2024-08-24 00:00:00.000","73"
"2024-08-14 00:00:00.000","10"
"2024-01-28 00:00:00.000","6330"
"2024-07-09 00:00:00.000","82"
"2024-06-10 00:00:00.000","102"
"2024-06-09 00:00:00.000","133"
"2024-04-21 00:00:00.000","389"
"2024-03-15 00:00:00.000","2129"
"2024-03-19 00:00:00.000","3091"
"2024-06-21 00:00:00.000","105"
"2024-07-18 00:00:00.000","106"
"2024-03-31 00:00:00.000","411"
"2024-06-28 00:00:00.000","99"
"2024-03-13 00:00:00.000","2126"
"2024-04-12 00:00:00.000","599"
"2024-05-27 00:00:00.000","95"
"2024-04-10 00:00:00.000","733"
"2024-04-11 00:00:00.000","966"
"2024-06-30 00:00:00.000","121"
"2024-06-23 00:00:00.000","41"
"2024-09-01 00:00:00.000","395"
"2024-02-26 00:00:00.000","400"
"2024-03-01 00:00:00.000","653"
"2024-02-29 00:00:00.000","602"
"2024-08-22 00:00:00.000","93"
"2024-06-15 00:00:00.000","166"
"2024-03-02 00:00:00.000","431"
"2024-01-08 00:00:00.000","153"
"2024-07-03 00:00:00.000","83"
"2024-03-03 00:00:00.000","816"
"2024-06-17 00:00:00.000","82"
"2024-03-30 00:00:00.000","532"
"2024-01-13 00:00:00.000","203"
"2024-07-04 00:00:00.000","64"
"2024-08-10 00:00:00.000","25"
"2024-03-24 00:00:00.000","31694"
"2024-08-04 00:00:00.000","18"
"2024-06-01 00:00:00.000","59"
"2024-08-17 00:00:00.000","34"
"2024-02-16 00:00:00.000","237"
"2024-03-04 00:00:00.000","831"
"2024-02-23 00:00:00.000","266"
"2024-03-06 00:00:00.000","447"
"2024-02-27 00:00:00.000","346"
"2024-02-28 00:00:00.000","736"
"2024-05-20 00:00:00.000","76"
"2024-01-07 00:00:00.000","168"
"2024-04-23 00:00:00.000","488"
"2024-02-18 00:00:00.000","630"
"2024-04-25 00:00:00.000","513"
"2024-06-26 00:00:00.000","94"
"2024-03-05 00:00:00.000","611"
"2024-04-27 00:00:00.000","371"
"2024-01-18 00:00:00.000","126"
"2024-02-01 00:00:00.000","10375"
"2024-03-12 00:00:00.000","1051"
"2024-06-25 00:00:00.000","63"
"2024-03-25 00:00:00.000","1445"
"2024-04-13 00:00:00.000","695"
"2024-08-29 00:00:00.000","25"
"2024-08-23 00:00:00.000","168"
"2024-01-02 00:00:00.000","357"
"2024-05-08 00:00:00.000","169"
"2024-06-27 00:00:00.000","83"
"2024-03-22 00:00:00.000","21662"
"2024-06-14 00:00:00.000","201"
"2024-02-17 00:00:00.000","637"
"2024-02-12 00:00:00.000","361"
"2024-09-10 00:00:00.000","66"
"2024-01-27 00:00:00.000","5508"
"2024-06-18 00:00:00.000","74"
"2024-09-08 00:00:00.000","50"
"2024-04-06 00:00:00.000","489"
"2024-07-19 00:00:00.000","100"
"2024-06-16 00:00:00.000","146"
"2024-01-17 00:00:00.000","147"
"2024-05-29 00:00:00.000","183"
"2024-08-18 00:00:00.000","24"
"2024-08-26 00:00:00.000","29"
"2024-08-06 00:00:00.000","18"
"2024-04-24 00:00:00.000","368"
"2024-08-02 00:00:00.000","41"
"2024-05-13 00:00:00.000","127"
"2024-06-11 00:00:00.000","119"
"2024-04-14 00:00:00.000","652"
"2024-05-26 00:00:00.000","77"
"2024-01-31 00:00:00.000","5512"
"2024-06-07 00:00:00.000","133"
"2024-08-09 00:00:00.000","32"
"2024-08-15 00:00:00.000","20"
"2024-07-07 00:00:00.000","51"
"2024-02-09 00:00:00.000","368"
"2024-06-03 00:00:00.000","91"
"2024-06-13 00:00:00.000","184"
"2024-04-02 00:00:00.000","508"
"2024-03-27 00:00:00.000","547"
"2024-02-11 00:00:00.000","352"
"2024-01-12 00:00:00.000","220"
"2024-01-14 00:00:00.000","243"
"2024-07-28 00:00:00.000","70"
