"BUYERS","DAYS"
"9","35"
"556","5"
"15","23"
"1","57"
"1","45"
"10","22"
"1","47"
"5","37"
"35","14"
"1","75"
"290660","1"
"209","7"
"16","19"
"1","146"
"104","9"
"6","38"
"9","33"
"1","86"
"4","28"
"1","99"
"1","79"
"10","36"
"1","44"
"10","27"
"1","53"
"1","76"
"12","18"
"3140","3"
"1","72"
"2","48"
"1","56"
"55","11"
"28","15"
"5","40"
"1","83"
"10","26"
"1","103"
"74","10"
"42","13"
"17","20"
"2","52"
"2","125"
"1","59"
"6","34"
"12","21"
"13","30"
"23","16"
"6","25"
"6","31"
"1","69"
"12","41"
"1","70"
"1","93"
"10","29"
"1","43"
"1211","4"
"17","24"
"1","136"
"7","39"
"1","80"
"15839","2"
"297","6"
"1","81"
"1","49"
"1","42"
"21","17"
"133","8"
"53","12"
"10","32"
"1","74"
